Timestamp,VAG_DPF_SOOT_CALC,VAG_DPF_SOOT_MEAS,VAG_DPF_OIL_ASH,VAG_KILOMETERS_SINCE_REGEN,VAG_EXHAUST_TEMP_TURBO,VAG_EXHAUST_TEMP_DPF_IN,VAG_DIFFERENTIAL_PRESSURE,VAG_OIL_TEMP
11:25:34,,,,,,,,
11:25:35,,,,,,,,
11:25:35,67,,,,,,,
11:25:35,,16,,,,,,
11:25:35,,,90,,,,,
11:25:35,,,,15,,,,
11:25:35,,,,,60,,,
11:25:35,,,,,,76,,
11:25:35,,,,,,,83,
11:25:35,,,,,,,,71
11:25:35,,,,,,,,
11:25:35,,,,,,,,
11:25:35,99,,,,,,,
11:25:35,,67,,,,,,
11:25:35,,,95,,,,,
11:25:35,,,,12,,,,
11:25:36,,,,,40,,,
11:25:36,,,,,,88,,
11:25:36,,,,,,,75,
11:25:36,,,,,,,,66
11:25:36,,,,,,,,
11:25:36,,,,,,,,
11:25:36,18,,,,,,,
11:25:36,,11,,,,,,
11:25:36,,,1,,,,,
11:25:36,,,,63,,,,
11:25:36,,,,,10,,,
11:25:36,,,,,,1,,
11:25:36,,,,,,,22,
11:25:36,,,,,,,,60
11:25:36,,,,,,,,
11:25:36,,,,,,,,
11:25:36,5,,,,,,,
11:25:36,,17,,,,,,
11:25:37,,,59,,,,,
11:25:37,,,,34,,,,
11:25:37,,,,,5,,,
11:25:37,,,,,,24,,
11:25:37,,,,,,,47,
11:25:37,,,,,,,,23
11:25:37,,,,,,,,
11:25:37,,,,,,,,
11:25:37,7,,,,,,,
11:25:37,,6,,,,,,
11:25:37,,,3,,,,,
11:25:37,,,,67,,,,
11:25:37,,,,,18,,,
11:25:37,,,,,,57,,
11:25:37,,,,,,,91,
11:25:37,,,,,,,,75
11:25:37,,,,,,,,
11:25:38,,,,,,,,
11:25:38,54,,,,,,,
11:25:38,,89,,,,,,
11:25:38,,,79,,,,,
11:25:38,,,,5,,,,
11:25:38,,,,,40,,,
11:25:38,,,,,,74,,
11:25:38,,,,,,,43,
11:25:38,,,,,,,,100
11:25:38,,,,,,,,
11:25:38,,,,,,,,
11:25:38,35,,,,,,,
11:25:38,,57,,,,,,
11:25:38,,,26,,,,,
11:25:38,,,,59,,,,
11:25:38,,,,,89,,,
11:25:39,,,,,,26,,
11:25:39,,,,,,,40,
11:25:39,,,,,,,,64
11:25:39,,,,,,,,
11:25:39,,,,,,,,
11:25:39,58,,,,,,,
11:25:39,,48,,,,,,
11:25:39,,,33,,,,,
11:25:39,,,,99,,,,
11:25:39,,,,,59,,,
11:25:39,,,,,,89,,
11:25:39,,,,,,,67,
11:25:39,,,,,,,,26
11:25:39,,,,,,,,
11:25:39,,,,,,,,
11:25:39,13,,,,,,,
11:25:39,,31,,,,,,
11:25:39,,,26,,,,,
11:25:40,,,,79,,,,
11:25:40,,,,,99,,,
11:25:40,,,,,,57,,
11:25:40,,,,,,,33,
11:25:40,,,,,,,,77
